jogo,fase,grupo,data,horaLocal,estadio,cidade,pais,equipe1,equipe2,codigo1,codigo2,placar_simulado,gols1_sim,gols2_sim,xg1_modelo,xg2_modelo,vencedor_simulado,decidido_penaltis,confianca_modelo,forca_equipe1,forca_equipe2,estilo_equipe1,estilo_equipe2,tecnico_equipe1,tecnico_equipe2,arbitro_principal,arbitro_associacao,assistente1,assistente2,var,rigor_cartoes_simulado_0_10,fluidez_jogo_simulada_0_10,cartoes_equipe1_proxy,cartoes_equipe2_proxy
63,Fase de grupos,G,2026-06-26,20:00,Lumen Field,Seattle,Estados Unidos,Egito,Irã,EGY,IRN,2-1,2,1,1.04,1.18,Egito,Não,média,59.4,64.1,"verticalidade, Salah como foco e bloco competitivo","defesa compacta, jogo físico e bola parada",HOSSAM HASSAN,GHALEHNOY Amir,ELFATH Ismail,USA,GOURARI Mokrane,GUZMAN Alexander,ASHOUR Mahmoud,8.0,7.7,4,3
64,Fase de grupos,G,2026-06-26,20:00,BC Place,Vancouver,Canadá,Nova Zelândia,Bélgica,NZL,BEL,0-3,0,3,0.93,1.32,Bélgica,Não,alta,59.9,69.8,bloco baixo/médio e bola aérea,posse com veteranos criativos e transição,BAZELEY Darren,GARCIA Rudi,ESKAS Espen,NOR,HOSSAM TAHA Ahmed,JERSON SANTOS,BEBEK Ivan,6.4,6.6,2,3
65,Fase de grupos,H,2026-06-26,19:00,NRG Stadium,Houston,Estados Unidos,Cabo Verde,Arábia Saudita,CPV,KSA,1-2,1,2,1.04,1.23,Arábia Saudita,Não,média,59.3,63.4,"organização, transição e agressividade física","intensidade, meio-campo técnico e transição",BUBISTA,DONIS Georgios,FAGHANI Alireza,AUS,JESUS Bruno,KEMPTER Robert,BRISARD Jerome,6.6,7.8,3,4
66,Fase de grupos,H,2026-06-26,18:00,Estadio Akron,Guadalajara,México,Uruguai,Espanha,URU,ESP,1-0,1,0,1.08,1.23,Uruguai,Não,baixa,66.3,68.9,"pressão homem a homem, ritmo alto e verticalidade","posse, pressão pós-perda e amplitude",BIELSA Marcelo,DE LA FUENTE Luis,FALCON PEREZ Yael,ARG,KLANCNIK Tomaz,KOVACIC Andraz,DANKERT Bastian,4.7,6.3,3,3
67,Fase de grupos,L,2026-06-27,17:00,MetLife Stadium,New York/New Jersey,Estados Unidos,Panamá,Inglaterra,PAN,ENG,1-2,1,2,1.19,1.14,Inglaterra,Não,baixa,69.2,67.2,"5-4-1, bloco baixo e contra-ataque","controle, pressão em momentos e qualidade entrelinhas",CHRISTIANSEN Thomas,TUCHEL Thomas,FISCHER Drew,CAN,LAKRINDIS George,LINDSAY James,DEL CERRO GRANDE Carlos,5.4,7.9,3,4
68,Fase de grupos,L,2026-06-27,17:00,Lincoln Financial Field,Philadelphia,Estados Unidos,Croácia,Gana,CRO,GHA,3-3,3,3,1.35,0.9,Empate,Não,alta,68.2,56.1,"controle de meio, experiência e ritmo cadenciado","bloco baixo, disciplina defensiva e contra-ataque",DALIC Zlatko,CARLOS QUEIROZ,GARAY Cristian,CHI,LISTKIEWICZ Tomasz,LOPEZ Walter,DELAJOD Willy,7.8,7.6,4,3
69,Fase de grupos,J,2026-06-27,21:00,Arrowhead Stadium,Kansas City,Estados Unidos,Argélia,Áustria,ALG,AUT,0-0,0,0,1.07,1.17,Empate,Não,baixa,64.8,67.6,"posse moderada, experiência e jogo pelos lados","gegenpressing, verticalidade e pressão constante",PETKOVIC Vladimir,RANGNICK Ralf,GARCIA Katia,MEX,MAIA Luciano,MAINWARING James,DI BELLO Marco,6.7,7.9,3,4
70,Fase de grupos,J,2026-06-27,21:00,AT&T Stadium,Dallas,Estados Unidos,Jordânia,Argentina,JOR,ARG,0-1,0,1,0.89,1.37,Argentina,Não,alta,60.2,70.9,bloco compacto e transição,"controle, flexibilidade e competitividade",SELLAMI Jamal,SCALONI Lionel,GHORBAL Mustapha,ALG,MARICA Mihai,MAYO Brooke,DICKERSON Joe,6.3,6.3,3,3
71,Fase de grupos,K,2026-06-27,19:30,Hard Rock Stadium,Miami,Estados Unidos,Colômbia,Portugal,COL,POR,3-3,3,3,1.0,1.17,Empate,Não,baixa,67.8,71.1,"equilíbrio, lado forte ofensivo e transição","posse, amplitude e talento associativo",LORENZO Nestor,MARTINEZ Roberto,HERNANDEZ Alejandro,ESP,MIHARA Jun,MORA Juan Carlos,EL FARIQ Hamza,8.0,5.4,5,5
72,Fase de grupos,K,2026-06-27,19:30,Mercedes-Benz Stadium,Atlanta,Estados Unidos,RD Congo,Uzbequistão,COD,UZB,3-1,3,1,1.15,1.07,RD Congo,Não,baixa,61.0,59.9,transição atlética e organização defensiva,organização defensiva e transição cautelosa,DESABRE Sebastien,CANNAVARO Fabio,HERRERA Dario,ARG,MORAN David,MORENO Tulio,EVANS Shaun,6.8,5.0,4,3
73,16 avos de final,,2026-06-28,12:00,SoFi Stadium,Los Angeles,Estados Unidos,África do Sul,Catar,RSA,QAT,0-2,0,2,1.04,1.28,Catar,Não,média,59.3,66.6,bloco compacto e contra-ataque,"posse, saída curta e controle territorial",BROOS Hugo,LOPETEGUI Julen,JAYED Jalal,MAR,MORIN Alberto,MUGNIER Cyril,FU Ming,6.4,5.9,3,3
74,16 avos de final,,2026-06-29,16:30,Gillette Stadium,Boston,Estados Unidos,Equador,México,ECU,MEX,3-0,3,0,0.99,1.17,Equador,Não,média,61.9,67.9,"pressão, intensidade e laterais altos","pragmático, competitivo, transição e bola parada",BECCACECE Sebastian,AGUIRRE Javier,KAWANA-WAUGH Campbell-Kirk,NZL,NARANJO PEREZ Jose Enrique,NAVARRO Cristian,GALLO Nicolas,5.9,7.7,3,4
75,16 avos de final,,2026-06-29,19:00,Estadio BBVA,Monterrey,México,Japão,Escócia,JPN,SCO,3-0,3,0,1.11,1.13,Japão,Não,baixa,67.6,68.9,"adaptação, intensidade e transição técnica","linha de 5, intensidade e bola parada",MORIYASU Hajime,CLARKE Steve,KOVACS Istvan,ROU,NESBITT Kathryn,NOUPUE Elvis,GARCIA Antonio,6.2,6.3,3,3
76,16 avos de final,,2026-06-29,12:00,NRG Stadium,Houston,Estados Unidos,Brasil,Países Baixos,BRA,NED,1-0,1,0,1.09,1.15,Brasil,Não,baixa,67.9,69.1,"equilíbrio, liberdade ofensiva e transição de elite",construção controlada e variação com linha de 3,ANCELOTTI Carlo,KOEMAN Ronald,LETEXIER Francois,FRA,NUNN Adam,ORUE Michael,GILLETT Jarred,4.9,7.2,3,2
77,16 avos de final,,2026-06-30,17:00,MetLife Stadium,New York/New Jersey,Estados Unidos,Noruega,Arábia Saudita,NOR,KSA,3-3,3,3,1.13,1.12,Noruega,Sim,baixa,64.3,63.4,"verticalidade, jogo para Haaland e força aérea","intensidade, meio-campo técnico e transição",SOLBAKKEN Stale,DONIS Georgios,MA Ning,CHN,PAGES Benjamin,PARKER Corey,GONZALEZ Leodan,7.2,5.1,3,4
78,16 avos de final,,2026-06-30,12:00,AT&T Stadium,Dallas,Estados Unidos,Curaçao,Iraque,CUW,IRQ,1-2,1,2,1.18,1.1,Iraque,Não,baixa,59.5,57.5,"pragmatismo, bloco compacto e experiência","organização, jogo direto e competitividade",ADVOCAAT Dick,ARNOLD Graham,MAKHADMEH Adham,JOR,PUPIRO Antonio,RAFAEL ALVES,GUZMAN Tatiana,4.2,6.3,1,3
79,16 avos de final,,2026-06-30,19:00,Estadio Azteca,Mexico City,México,Coreia do Sul,Alemanha,KOR,GER,1-1,1,1,1.05,1.19,Alemanha,Sim,baixa,67.4,69.5,"intensidade, velocidade e jogo pelos lados","pressão, rotação posicional e jogo entrelinhas",HONG Myungbo,NAGELSMANN Julian,MAKKELIE Danny,NED,RAHMOUNI Mehdi,RAMIREZ Christian,HIGLER Dennis,7.3,7.2,4,4
80,16 avos de final,,2026-07-01,12:00,Mercedes-Benz Stadium,Atlanta,Estados Unidos,Croácia,Áustria,CRO,AUT,2-0,2,0,1.11,1.05,Croácia,Não,baixa,68.2,67.6,"controle de meio, experiência e ritmo cadenciado","gegenpressing, verticalidade e pressão constante",DALIC Zlatko,RANGNICK Ralf,MARCINIAK Szymon,POL,RAMIREZ Sandra,RETAMAL Jose,KWIATKOWSKI Tomasz,8.0,7.0,3,5
81,16 avos de final,,2026-07-01,17:00,Levi's Stadium,San Francisco Bay Area,Estados Unidos,Turquia,Senegal,TUR,SEN,0-0,0,0,1.2,1.02,Turquia,Sim,média,69.0,66.0,posse vertical e talento entrelinhas,"potência, transição e bloco atlético",MONTELLA Vincenzo,THIAW Pape,MARIANI Maurizio,ITA,ROCHA Miguel,RODRIGUEZ Facundo,LARA Juan,7.2,6.5,4,4
82,16 avos de final,,2026-07-01,13:00,Lumen Field,Seattle,Estados Unidos,Egito,México,EGY,MEX,3-1,3,1,0.91,1.27,Egito,Não,alta,59.4,67.9,"verticalidade, Salah como foco e bloco competitivo","pragmático, competitivo, transição e bola parada",HOSSAM HASSAN,AGUIRRE Javier,MARTINEZ Hector Said,HON,SALDIVAR Milciades,SANCHEZ Diego,MASTRANGELO Hernan,8.2,7.7,4,4
83,16 avos de final,,2026-07-02,19:00,BMO Field,Toronto,Canadá,RD Congo,Inglaterra,COD,ENG,0-0,0,0,1.03,1.27,RD Congo,Sim,média,61.0,67.2,transição atlética e organização defensiva,"controle, pressão em momentos e qualidade entrelinhas",DESABRE Sebastien,TUCHEL Thomas,MOHAMED Amin,EGY,SIWELA Zakhele,SODERKVIST Andreas,MIRANDA Erick,4.2,5.7,2,2
84,16 avos de final,,2026-07-02,12:00,SoFi Stadium,Los Angeles,Estados Unidos,Espanha,Argélia,ESP,ALG,4-1,4,1,1.28,1.07,Espanha,Não,média,68.9,64.8,"posse, pressão pós-perda e amplitude","posse moderada, experiência e jogo pelos lados",DE LA FUENTE Luis,PETKOVIC Vladimir,NATION Oshane,JAM,STEEGSTRA Hessel,TARAN Nicolas,MOHAMMED OBAID KHADIM,5.5,7.7,3,3
85,16 avos de final,,2026-07-02,20:00,BC Place,Vancouver,Canadá,Suíça,Irã,SUI,IRN,1-0,1,0,1.22,0.97,Suíça,Não,média,70.1,64.1,"sistema flexível, bloco médio e eficiência","defesa compacta, jogo físico e bola parada",YAKIN Murat,GHALEHNOY Amir,NYBERG Glenn,SWE,TEGONI Alberto,TREVIS Isaac,PACHECO Guillermo,8.2,4.6,4,3
86,16 avos de final,,2026-07-03,18:00,Hard Rock Stadium,Miami,Estados Unidos,Argentina,Uruguai,ARG,URU,2-0,2,0,1.18,1.0,Argentina,Não,média,70.9,66.3,"controle, flexibilidade e competitividade","pressão homem a homem, ritmo alto e verticalidade",SCALONI Lionel,BIELSA Marcelo,OLIVER Michael,ENG,TSAPENKO Andrey,TUNYOGI Ferencz,SAN Fedayi,4.3,6.9,2,2
87,16 avos de final,,2026-07-03,20:30,Arrowhead Stadium,Kansas City,Estados Unidos,Colômbia,Austrália,COL,AUS,1-0,1,0,1.26,0.96,Colômbia,Não,média,67.8,60.9,"equilíbrio, lado forte ofensivo e transição","organização, força física e jogo direto",LORENZO Nestor,POPOVIC Tony,OMAR AL ALI,UAE,URREGO Jorge,WALES Caleb,SOTO Juan,7.7,4.7,4,4
88,16 avos de final,,2026-07-03,13:00,AT&T Stadium,Dallas,Estados Unidos,Estados Unidos,Bélgica,USA,BEL,0-1,0,1,1.33,1.06,Bélgica,Não,média,71.0,69.8,"pressão, energia e 4-2-3-1 agressivo",posse com veteranos criativos e transição,POCHETTINO Mauricio,GARCIA Rudi,ORTEGA Kevin,PER,ZERHOUNI Abbes Akram,ZHOU Fei,TOSKI Rodolpho,7.4,7.9,5,3
89,Oitavas de final,,2026-07-04,17:00,Lincoln Financial Field,Philadelphia,Estados Unidos,Catar,Japão,QAT,JPN,0-2,0,2,1.1,1.15,Japão,Não,baixa,66.6,67.6,"posse, saída curta e controle territorial","adaptação, intensidade e transição técnica",LOPETEGUI Julen,MORIYASU Hajime,PENSO Tori,USA,ABEIGNE Amos,ABOUELREGAL Mahmoud,VAN DRIESSCHE Bram,7.1,5.5,4,4
90,Oitavas de final,,2026-07-04,12:00,NRG Stadium,Houston,Estados Unidos,Equador,Noruega,ECU,NOR,2-3,2,3,1.09,1.11,Noruega,Não,baixa,61.9,64.3,"pressão, intensidade e laterais altos","verticalidade, jogo para Haaland e força aérea",BECCACECE Sebastian,SOLBAKKEN Stale,PINHEIRO Joao,POR,AKARKAD Mostafa,AL ABAKRY Mohammed,VILLARREAL Armando,4.5,4.5,3,3
91,Oitavas de final,,2026-07-05,16:00,MetLife Stadium,New York/New Jersey,Estados Unidos,Brasil,Iraque,BRA,IRQ,1-2,1,2,1.37,0.93,Iraque,Não,alta,67.9,57.5,"equilíbrio, liberdade ofensiva e transição de elite","organização, jogo direto e competitividade",ANCELOTTI Carlo,ARNOLD Graham,RAMON ABATTI,BRA,AL HAMMADI Mohamed,AL KALAF Mohammad,AL-MARRI Khamis,8.2,7.0,5,5
92,Oitavas de final,,2026-07-05,18:00,Estadio Azteca,Mexico City,México,Alemanha,Croácia,GER,CRO,1-0,1,0,1.12,1.05,Alemanha,Não,baixa,69.5,68.2,"pressão, rotação posicional e jogo entrelinhas","controle de meio, experiência e ritmo cadenciado",NAGELSMANN Julian,DALIC Zlatko,RAMOS Cesar,MEX,AL MAQALEH Saoud,AL MARRI Taleb,ALSHEHRI Abdullah,5.9,7.9,3,2
93,Oitavas de final,,2026-07-06,14:00,AT&T Stadium,Dallas,Estados Unidos,RD Congo,Espanha,COD,ESP,1-2,1,2,1.0,1.34,Espanha,Não,média,61.0,68.9,transição atlética e organização defensiva,"posse, pressão pós-perda e amplitude",DESABRE Sebastien,DE LA FUENTE Luis,ROJAS Andres,COL,AL ROALLE Ahmad,ARFA Lyes,ASHOUR Mahmoud,7.6,6.3,4,4
94,Oitavas de final,,2026-07-06,17:00,Lumen Field,Seattle,Estados Unidos,Turquia,Egito,TUR,EGY,1-0,1,0,1.34,0.89,Turquia,Não,alta,69.0,59.4,posse vertical e talento entrelinhas,"verticalidade, Salah como foco e bloco competitivo",MONTELLA Vincenzo,HOSSAM HASSAN,SCHAERER Sandro,SUI,ATKINS Kyle,BARREIRO Carlos,BEBEK Ivan,5.1,7.4,3,3
95,Oitavas de final,,2026-07-07,12:00,Mercedes-Benz Stadium,Atlanta,Estados Unidos,Argentina,Bélgica,ARG,BEL,0-2,0,2,1.16,1.09,Bélgica,Não,baixa,70.9,69.8,"controle, flexibilidade e competitividade",posse com veteranos criativos e transição,SCALONI Lionel,GARCIA Rudi,TANTASHEV Ilgiz,UZB,BARWEGEN Micheal,BASHEVKIN Isaak,BRISARD Jerome,5.5,7.3,2,3
96,Oitavas de final,,2026-07-07,13:00,BC Place,Vancouver,Canadá,Suíça,Colômbia,SUI,COL,2-1,2,1,1.13,1.09,Suíça,Não,baixa,70.1,67.8,"sistema flexível, bloco médio e eficiência","equilíbrio, lado forte ofensivo e transição",YAKIN Murat,LORENZO Nestor,TAYLOR Anthony,ENG,KUPSIK Adam,BEIGI Mahbod,DANKERT Bastian,6.3,6.4,4,3
97,Quartas de final,,2026-07-09,16:00,Gillette Stadium,Boston,Estados Unidos,Japão,Noruega,JPN,NOR,1-0,1,0,1.2,1.04,Japão,Não,baixa,67.6,64.3,"adaptação, intensidade e transição técnica","verticalidade, jogo para Haaland e força aérea",MORIYASU Hajime,SOLBAKKEN Stale,TEJERA Gustavo,URU,BELATTI Juan Pablo,BESWICK Gary,DEL CERRO GRANDE Carlos,5.1,5.1,3,2
98,Quartas de final,,2026-07-10,12:00,SoFi Stadium,Los Angeles,Estados Unidos,Espanha,Turquia,ESP,TUR,1-0,1,0,1.12,1.14,Espanha,Não,baixa,68.9,69.0,"posse, pressão pós-perda e amplitude",posse vertical e talento entrelinhas,DE LA FUENTE Luis,MONTELLA Vincenzo,TELLO Facundo,ARG,BINDONI Daniele,BISGUERRA Marco,DELAJOD Willy,5.3,5.7,3,3
99,Quartas de final,,2026-07-11,17:00,Hard Rock Stadium,Miami,Estados Unidos,Iraque,Alemanha,IRQ,GER,0-0,0,0,0.86,1.36,Iraque,Sim,alta,57.5,69.5,"organização, jogo direto e competitividade","pressão, rotação posicional e jogo entrelinhas",ARNOLD Graham,NAGELSMANN Julian,TOM Abongile,RSA,BRINSI Zakaria,BRUNO BOSCHILIA,DI BELLO Marco,5.0,4.5,2,3
100,Quartas de final,,2026-07-11,20:00,Arrowhead Stadium,Kansas City,Estados Unidos,Bélgica,Suíça,BEL,SUI,2-0,2,0,1.12,1.12,Bélgica,Não,baixa,69.8,70.1,posse com veteranos criativos e transição,"sistema flexível, bloco médio e eficiência",GARCIA Rudi,YAKIN Murat,TURPIN Clement,FRA,BRUNO PIRES,BURT Stuart,DICKERSON Joe,4.9,6.7,2,2
101,Semifinais,,2026-07-14,14:00,AT&T Stadium,Dallas,Estados Unidos,Japão,Espanha,JPN,ESP,1-1,1,1,1.14,1.22,Japão,Sim,baixa,67.6,68.9,"adaptação, intensidade e transição técnica","posse, pressão pós-perda e amplitude",MORIYASU Hajime,DE LA FUENTE Luis,VALENZUELA Jesus,VEN,CARDOZO Eduardo,CHADE Gabriel,EL FARIQ Hamza,6.5,7.9,4,4
102,Semifinais,,2026-07-15,15:00,Mercedes-Benz Stadium,Atlanta,Estados Unidos,Iraque,Bélgica,IRQ,BEL,1-2,1,2,0.88,1.36,Bélgica,Não,alta,57.5,69.8,"organização, jogo direto e competitividade",posse com veteranos criativos e transição,ARNOLD Graham,GARCIA Rudi,VINCIC Slavko,SVN,DANILO MANIS,DANOS Nicolas,EVANS Shaun,5.0,5.1,2,2
103,Disputa de 3º lugar,,2026-07-18,17:00,Hard Rock Stadium,Miami,Estados Unidos,Espanha,Iraque,ESP,IRQ,1-0,1,0,1.44,0.93,Espanha,Não,alta,68.9,57.5,"posse, pressão pós-perda e amplitude","organização, jogo direto e competitividade",DE LA FUENTE Luis,ARNOLD Graham,WILTON SAMPAIO,BRA,DE ALMEIDA Stephane,DE VRIES Jan,FU Ming,4.9,5.1,3,3
104,Final,,2026-07-19,15:00,MetLife Stadium,New York/New Jersey,Estados Unidos,Japão,Bélgica,JPN,BEL,1-2,1,2,1.09,1.15,Bélgica,Não,baixa,67.6,69.8,"adaptação, intensidade e transição técnica",posse com veteranos criativos e transição,MORIYASU Hajime,GARCIA Rudi,ZWAYER Felix,GER,DEL YESSO Maximiliano,DIETZ Christian,GALLO Nicolas,8.2,6.4,4,4
